KeyReleased,Key.f8,7.8557169
start
KeyPressed,Key.esc,7.9653524
KeyReleased,Key.esc,8.0614112
KeyPressed,r,8.2856965
KeyReleased,'r',8.3569404
KeyPressed,Key.enter,8.4451184
KeyReleased,Key.enter,8.5255371
KeyPressed,d,18.4532993
KeyPressed,w,18.7412602
KeyPressed,Key.shift,18.9010952
KeyReleased,'W',19.0776863
KeyPressed,W,19.4212352
KeyReleased,'W',19.7090374
KeyReleased,Key.shift,19.7409586
KeyReleased,'d',19.845122
KeyPressed,e,20.1730427
KeyReleased,'e',20.2772035
KeyPressed,e,22.0609954
KeyReleased,'e',22.1574601
KeyPressed,e,22.2531808
KeyReleased,'e',22.3654748
KeyPressed,Key.shift,23.8777267
KeyPressed,S,23.9018535
KeyPressed,D,24.0692098
KeyReleased,'S',24.2051656
KeyPressed,S,24.6214872
KeyReleased,'S',24.8691447
KeyPressed,Key.right,25.1651715
KeyPressed,Key.right,25.6651762
KeyPressed,Key.right,25.6980658
KeyPressed,Key.right,25.7320046
KeyPressed,Key.right,25.7650576
KeyPressed,Key.right,25.7980472
KeyPressed,Key.right,25.831003
KeyPressed,W,25.8452309
KeyReleased,Key.right,26.0132604
KeyReleased,'D',26.0293259
KeyPressed,D,26.413501
KeyReleased,'D',26.8773255
KeyPressed,D,27.0291039
KeyReleased,'D',27.2213154
KeyPressed,D,28.3892985
KeyReleased,'D',28.5409563
KeyReleased,Key.shift,29.2529956
KeyReleased,'w',29.3654547
KeyPressed,e,29.5413324
KeyReleased,'e',29.6375473
MouseMove,1156,756,30.8452543
MouseMove,1159,758,30.8463746
MouseMove,1163,759,30.8472181
MouseMove,1164,760,30.8484059
MouseMove,1167,760,30.8494067
MouseMove,1171,762,30.8503669
MouseMove,1177,763,30.8513398
MouseMove,1181,765,30.8521613
MouseMove,1185,766,30.8529731
MouseMove,1188,767,30.853887
MouseMove,1192,768,30.8548407
MouseMove,1196,768,30.8559692
MouseMove,1197,769,30.8569458
MouseMove,1201,770,30.8578555
MouseMove,1205,770,30.8587773
MouseMove,1209,771,30.859932
MouseMove,1213,772,30.8614572
MouseMove,1215,772,30.8626974
MouseMove,1219,772,30.8636942
MouseMove,1223,772,30.8648157
MouseMove,1225,772,30.8657642
MouseMove,1229,773,30.8666389
MouseMove,1238,774,30.8677881
MouseMove,1242,774,30.8689276
MouseMove,1248,774,30.8701446
MouseMove,1251,774,30.8712788
MouseMove,1255,774,30.872262
MouseMove,1261,774,30.8732024
MouseMove,1262,774,30.8742467
MouseMove,1266,774,30.8753261
MouseMove,1274,774,30.8764461
MouseMove,1279,774,30.8779389
MouseMove,1291,774,30.8793901
MouseMove,1297,774,30.8805175
MouseMove,1298,774,30.8818533
MouseMove,1310,774,30.8828305
MouseMove,1315,774,30.8838381
MouseMove,1320,774,30.8849314
MouseMove,1322,774,30.8859044
MouseMove,1326,774,30.8870966
MouseMove,1334,773,30.8879671
MouseMove,1338,773,30.8888307
MouseMove,1342,773,30.889722
MouseMove,1345,772,30.89063
MouseMove,1349,772,30.8917608
MouseMove,1357,771,30.893174
MouseMove,1361,770,30.8946654
MouseMove,1368,770,30.8959169
MouseMove,1372,770,30.8970567
MouseMove,1379,769,30.8981607
MouseMove,1383,769,30.8991914
MouseMove,1388,768,30.900304
MouseMove,1390,768,30.9015092
MouseMove,1395,768,30.9026324
MouseMove,1402,767,30.9036864
MouseMove,1407,766,30.9047399
MouseMove,1411,766,30.9057928
MouseMove,1414,766,30.9067362
MouseMove,1418,765,30.9076838
MouseMove,1420,764,30.9087489
MouseMove,1422,764,30.9101518
MouseMove,1426,764,30.911593
MouseMove,1435,763,30.9129704
MouseMove,1438,762,30.9144605
MouseMove,1441,761,30.9155284
MouseMove,1443,761,30.9168506
MouseMove,1446,761,30.9181583
MouseMove,1449,760,30.9194356
MouseMove,1451,760,30.920482
MouseMove,1454,759,30.9215012
MouseMove,1455,759,30.92239
MouseMove,1458,758,30.9235683
MouseMove,1460,758,30.9248196
MouseMove,1465,756,30.9263461
MouseMove,1467,756,30.9282219
MouseMove,1469,755,30.9298266
MouseMove,1472,754,30.931349
MouseMove,1473,754,30.932625
MouseMove,1474,754,30.9337097
MouseMove,1476,753,30.9347272
MouseMove,1477,752,30.9357425
MouseMove,1478,751,30.9366033
MouseMove,1479,751,30.9375238
MouseMove,1480,750,30.9384988
MouseMove,1481,750,30.9395812
MouseMove,1482,749,30.9407257
MouseMove,1483,748,30.9417467
MouseMove,1485,748,30.9427405
MouseMove,1485,747,30.9441976
MouseMove,1486,746,30.9456715
MouseMove,1488,745,30.9474165
MouseMove,1488,745,30.9486241
